Position,Team,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
SP,SD,Blake Snell,30,6,8,0,2,20,20,0,0,0,0,108.0,79,33,32,11,59,0,143,2,0,8,453,153,3.66,1.278,6.6,0.9,4.9,11.9,2
SP,SD,Yu Darvish,36,7,6,0,4,17,17,0,0,0,0,97.0,89,48,47,11,33,0,105,5,1,1,405,94,3.77,1.258,8.3,1.0,3.1,9.7,3
SP,SD,Michael Wacha,31,8,2,0,2,15,15,0,0,0,0,85.2,67,27,27,8,25,0,73,2,1,3,343,144,3.74,1.074,7.0,0.8,2.6,7.7,2
SP,SD,Joe Musgrove,30,9,2,0,3,15,15,0,0,0,0,85.1,79,32,30,8,18,1,86,9,1,2,351,129,3.44,1.137,8.3,0.8,1.9,9.1,4
SP,SD,Seth Lugo,33,3,4,0,3,13,13,0,0,0,0,69.0,73,31,29,8,13,0,64,2,0,2,288,108,3.59,1.246,9.5,1.0,1.7,8.3,4
SP,SD,Ryan Weathers,23,1,6,0,6,12,10,0,0,0,0,44.2,55,33,31,9,17,0,29,1,0,1,196,66,5.82,1.612,11.1,1.8,3.4,5.8,1
CL,SD,Josh Hader,29,0,1,0,1,38,0,32,0,0,23,36.0,16,6,4,1,19,1,54,2,0,2,144,411,2.4,0.972,4.0,0.3,4.8,13.5,2
RP,SD,Nick Martinez,32,4,3,0,3,40,4,5,0,0,1,69.2,63,31,29,9,25,1,59,1,0,2,290,109,4.39,1.263,8.1,1.2,3.2,7.6,2
RP,SD,Tim Hill,33,1,4,0,3,42,0,7,0,0,0,40.2,45,26,18,6,11,0,25,6,0,0,176,103,5.23,1.377,10.0,1.3,2.4,5.5,2
RP,SD,Steven Wilson,28,1,0,1,2,38,0,3,0,0,0,40.0,23,12,12,4,18,0,42,2,0,0,159,152,3.99,1.025,5.2,0.9,4.1,9.5,2
RP,SD,Luis García,36,1,3,0,5,36,0,10,0,0,0,33.2,33,24,21,5,16,0,33,4,0,1,153,73,5.04,1.455,8.8,1.3,4.3,8.8,2
P,SD,Brent Honeywell Jr.,28,2,4,0,4,34,0,10,0,0,0,42.2,40,20,19,8,19,0,38,4,1,3,186,102,5.56,1.383,8.4,1.7,4.0,8.0,2
P,SD,Tom Cosgrove,27,1,2,0,2,26,0,8,0,0,0,26.0,15,7,6,2,8,0,23,3,0,1,99,198,3.79,0.885,5.2,0.7,2.8,8.0,2
P,SD,Drew Carlton,27,2,1,0,4,11,0,1,0,0,0,20.2,18,12,10,2,6,0,18,1,0,1,85,95,3.82,1.161,7.8,0.9,2.6,7.8,3
P,SD,Domingo Tapia,31,0,1,0,3,15,0,6,0,0,1,17.2,13,8,7,2,12,1,14,1,0,0,75,116,5.38,1.415,6.6,1.0,6.1,7.1,1
P,SD,Nabil Crismatt,28,0,1,0,9,7,0,3,0,0,0,11.0,17,12,12,3,7,0,9,1,0,2,57,43,7.38,2.182,13.9,2.5,5.7,7.4,1
P,SD,Ray Kerr,28,0,1,0,5,8,0,5,0,0,0,8.0,8,7,5,3,1,1,7,0,0,1,33,76,6.79,1.125,9.0,3.4,1.1,7.9,7
P,SD,Reiss Knehr,26,0,1,0,15,4,1,3,0,0,0,5.2,10,10,10,3,5,0,4,0,0,0,32,27,11.4,2.647,15.9,4.8,7.9,6.4,0
P,SD,Matt Waldron,26,0,1,0,3,1,1,0,0,0,0,4.2,4,2,2,2,1,0,2,0,0,0,19,114,8.64,1.071,7.7,3.9,1.9,3.9,2
