Position,Team,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
C,MIN,Christian Vázquez,32,63,217,195,20,41,7,0,2,18,0,0,20,51,0.21,0.286,0.277,0.563,58,54,6,1,0,1,1
1B,MIN,Donovan Solano,35,85,275,236,25,65,20,0,4,22,0,0,33,59,0.275,0.378,0.411,0.789,120,97,5,6,0,0,1
2B,MIN,Edouard Julien,24,49,175,152,25,48,11,0,9,16,2,0,19,55,0.316,0.391,0.566,0.957,162,86,1,1,1,2,0
SS,MIN,Carlos Correa,28,86,371,334,36,77,20,2,12,42,0,0,34,85,0.231,0.305,0.41,0.715,96,137,18,2,0,1,1
3B,MIN,Jose Miranda,25,40,152,142,12,30,4,0,3,13,0,0,9,24,0.211,0.263,0.303,0.566,57,43,8,1,0,0,0
LF,MIN,Joey Gallo,29,76,254,217,30,39,8,1,17,31,0,0,35,105,0.18,0.299,0.461,0.76,107,100,2,2,0,0,1
CF,MIN,Michael A. Taylor,32,88,257,238,30,52,13,0,11,28,11,1,13,88,0.218,0.267,0.412,0.678,85,98,6,3,2,1,0
RF,MIN,Max Kepler,30,71,255,229,32,51,7,0,14,36,0,1,20,57,0.223,0.29,0.437,0.727,98,100,5,3,0,3,0
DH,MIN,Byron Buxton,29,78,320,280,43,54,12,1,15,36,8,0,33,101,0.193,0.281,0.404,0.685,87,113,3,3,0,4,1
LF,MIN,Willi Castro,26,83,249,222,35,54,9,1,5,20,22,4,17,65,0.243,0.319,0.36,0.679,89,80,1,8,1,1,0
1B,MIN,Alex Kirilloff,25,62,227,197,21,55,10,1,7,27,0,0,23,58,0.279,0.37,0.447,0.817,126,88,0,6,0,1,1
IF,MIN,Kyle Farmer,32,68,218,198,29,49,8,2,6,21,1,0,13,56,0.247,0.312,0.399,0.711,96,79,5,6,0,1,0
LF,MIN,Trevor Larnach,26,47,177,152,21,32,5,2,6,31,1,1,23,61,0.211,0.311,0.388,0.699,93,59,1,0,0,2,1
C,MIN,Ryan Jeffers,26,55,171,142,22,37,8,1,4,13,1,1,18,50,0.261,0.371,0.415,0.787,119,59,4,7,4,0,0
2B,MIN,Jorge Polanco,29,30,127,120,11,30,9,0,5,16,1,0,7,29,0.25,0.291,0.45,0.741,102,54,1,0,0,0,0
3B,MIN,Royce Lewis,24,26,99,95,11,31,2,0,4,15,1,0,3,28,0.326,0.354,0.474,0.827,127,45,1,1,0,0,0
UT,MIN,Nick Gordon,27,34,93,91,13,16,5,1,2,7,0,0,1,11,0.176,0.185,0.319,0.503,36,29,1,0,1,0,0
RF,MIN,Matt Wallner,25,15,38,30,4,9,1,0,1,4,1,1,4,8,0.3,0.447,0.433,0.881,147,13,0,4,0,0,0
OF,MIN,Kyle Garlick,31,14,30,28,2,5,1,0,2,4,0,0,2,11,0.179,0.233,0.429,0.662,78,12,0,0,0,0,0
