Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Francisco Alvarez,21,71,246,226,33,55,7,0,19,40,0,0,16,61,0.243,0.305,0.527,0.831,126,119,8,4,0,0,0,alvarfr01
2,1B,Pete Alonso,28,88,372,324,51,66,7,1,26,63,3,0,36,78,0.204,0.304,0.472,0.776,113,153,11,11,0,1,0,alonspe01
3,2B,Jeff McNeil*,31,95,386,342,39,84,14,1,3,28,5,0,28,45,0.246,0.323,0.319,0.642,81,109,5,12,2,2,0,mcneije01
4,SS,Francisco Lindor#,29,96,412,358,57,82,21,2,19,61,14,1,42,91,0.229,0.318,0.458,0.776,114,164,6,7,0,5,0,lindofr01
5,3B,Brett Baty*,23,71,256,230,31,54,8,0,7,24,2,0,20,69,0.235,0.3,0.361,0.661,84,83,6,2,0,1,0,batybr01
6,LF,Tommy Pham,35,74,250,217,28,59,15,1,9,35,11,1,29,53,0.272,0.356,0.475,0.831,130,103,2,1,0,3,1,phamth01
7,CF,Brandon Nimmo*,30,94,426,364,56,95,16,4,14,44,3,1,49,96,0.261,0.36,0.442,0.802,123,161,2,9,1,3,0,nimmobr01
8,RF,Starling Marte (10-day IL),34,84,333,307,38,78,7,1,5,28,24,4,16,66,0.254,0.308,0.332,0.64,79,102,8,8,2,0,1,martest01
9,DH,Daniel Vogelbach*,30,67,208,179,20,40,7,0,5,26,0,0,29,51,0.223,0.332,0.346,0.678,90,62,5,0,0,0,1,vogelda01
10,LF,Mark Canha,34,80,269,228,27,55,14,1,6,28,7,0,28,47,0.241,0.342,0.39,0.732,104,89,8,9,0,4,0,canhama01
11,3B,Eduardo Escobar#,34,40,120,110,15,26,3,2,4,16,2,0,8,24,0.236,0.286,0.409,0.695,91,45,4,0,1,1,0,escobed01
12,2B,Luis Guillorme*,28,49,112,100,12,24,6,1,1,9,0,0,10,28,0.24,0.306,0.35,0.656,83,35,3,0,1,1,1,guilllu01
13,C,Tomás Nido,29,22,61,56,5,7,0,0,0,1,0,0,2,18,0.125,0.153,0.125,0.278,-21,7,2,0,2,1,0,nidoto01
14,C,Omar Narváez*,31,19,51,43,6,9,0,0,1,4,0,0,6,7,0.209,0.294,0.279,0.573,62,12,0,0,0,2,0,narvaom01
15,CI,Mark Vientos (40-man),23,16,49,45,2,8,0,0,1,5,0,0,3,14,0.178,0.224,0.244,0.469,31,11,1,0,0,1,0,vientma01
16,DH,DJ Stewart*,29,7,12,9,2,2,0,0,1,2,1,0,2,3,0.222,0.333,0.556,0.889,143,5,0,0,0,1,0,stewadj01
17,DH,Tim Locastro (60-day IL),30,11,10,7,3,0,0,0,0,0,4,0,0,2,0,0.3,0,0.3,-5,0,0,3,0,0,0,locasti01
18,C,Gary Sánchez,30,3,7,6,0,1,0,0,0,1,0,0,0,3,0.167,0.143,0.167,0.31,-14,1,0,0,0,1,0,sanchga02
19,IF,Danny Mendick (40-man),29,4,7,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0,mendida01
20,C,Michael Perez* (40-man),30,2,7,7,1,4,1,0,0,0,0,0,0,1,0.571,0.571,0.714,1.286,257,5,0,0,0,0,0,perezmi03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
