Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,SP,Shane Bieber (15-day IL),28,5,6,0.455,3.77,19,19,0,1,0,0,117,113,50,49,14,33,0,95,3,1,6,489,110,4.14,1.248,8.7,1.1,2.5,7.3,2.88,biebesh01
2,SP,Tanner Bibee,24,5,2,0.714,3.32,14,14,0,0,0,0,76,68,30,28,7,28,0,77,3,0,6,322,125,3.68,1.263,8.1,0.8,3.3,9.1,2.75,bibeeta01
3,SP,Logan Allen*,24,4,2,0.667,3.21,13,13,0,0,0,0,67.1,67,25,24,6,25,0,71,1,0,1,292,129,3.49,1.366,9,0.8,3.3,9.5,2.84,allenlo02
4,SP,Cal Quantrill (15-day IL),28,2,6,0.25,6.45,13,13,0,0,0,0,67,83,49,48,8,22,0,38,5,0,4,307,64,4.91,1.567,11.1,1.1,3,5.1,1.73,quantca01
5,SP,Aaron Civale,28,3,2,0.6,2.71,11,11,0,0,0,0,63,50,19,19,5,18,0,49,2,0,3,255,153,3.71,1.079,7.1,0.7,2.6,7,2.72,civalaa01
6,SP,Peyton Battenfield (60-day IL),25,0,5,0,5.19,7,6,1,0,0,0,34.2,34,22,20,7,12,0,27,0,0,1,146,80,5.39,1.327,8.8,1.8,3.1,7,2.25,battepe01
7,CL,Emmanuel Clase,25,1,5,0.167,3.3,45,0,37,0,0,25,43.2,38,22,16,2,12,0,41,0,0,3,181,126,2.83,1.145,7.8,0.4,2.5,8.5,3.42,claseem01
8,RP,Trevor Stephan,27,4,4,0.5,3.35,43,0,8,0,0,2,40.1,41,18,15,6,15,0,42,1,0,2,175,124,4.33,1.388,9.1,1.3,3.3,9.4,2.8,stephtr01
9,RP,Enyel De Los Santos,27,4,1,0.8,2.72,41,0,4,0,0,0,39.2,27,13,12,2,16,0,34,3,0,1,155,153,3.66,1.084,6.1,0.5,3.6,7.7,2.13,delosen01
10,RP,Eli Morgan,27,4,1,0.8,2.29,36,0,8,0,0,1,39.1,37,14,10,5,11,1,39,0,1,0,167,182,3.79,1.22,8.5,1.1,2.5,8.9,3.55,morgael01
11,RP,Nick Sandlin,26,4,3,0.571,2.7,35,0,3,0,0,0,36.2,18,13,11,4,13,1,39,1,0,0,137,154,3.72,0.845,4.4,1,3.2,9.6,3,sandlni01
12,,Xzavion Curry,24,3,0,1,2.86,24,1,14,0,0,0,50.1,46,18,16,5,11,1,34,1,0,2,206,145,3.94,1.132,8.2,0.9,2,6.1,3.09,curryxz01
13,,Hunter Gaddis (40-man),25,1,1,0.5,5.17,8,6,2,0,0,0,31.1,29,18,18,4,9,0,21,4,0,1,134,81,4.85,1.213,8.3,1.1,2.6,6,2.33,gaddihu01
14,,Gavin Williams,23,1,2,0.333,3.94,5,5,0,0,0,0,29.2,24,13,13,4,11,0,23,1,0,0,120,106,4.7,1.18,7.3,1.2,3.3,7,2.09,williga01
15,,James Karinchak (40-man),27,2,4,0.333,3.9,32,0,3,0,0,0,27.2,15,12,12,6,19,1,38,2,0,1,118,107,5.64,1.229,4.9,2,6.2,12.4,2,karinja01
16,,Sam Hentges*,26,1,2,0.333,6.31,28,0,4,0,0,0,25.2,25,20,18,2,12,0,23,0,0,1,113,66,3.91,1.442,8.8,0.7,4.2,8.1,1.92,hentgsa01
17,,Tim Herrin*,26,1,0,1,5.01,18,0,6,0,0,0,23.1,23,13,13,3,7,0,26,2,0,2,98,83,3.89,1.286,8.9,1.2,2.7,10,3.71,herriti01
18,,Zach Plesac,28,1,1,0.5,7.59,5,5,0,0,0,0,21.1,37,20,18,3,5,0,14,0,0,0,105,55,4.5,1.969,15.6,1.3,2.1,5.9,2.8,plesaza01
19,,Triston McKenzie (60-day IL),25,0,1,0,4.5,2,2,0,0,0,0,10,8,5,5,1,4,0,15,0,0,1,42,95,2.79,1.2,7.2,0.9,3.6,13.5,3.75,mckentr01
20,,Cody Morris (40-man),26,0,0,,9,4,0,1,0,0,0,4,7,4,4,3,2,0,6,0,0,0,20,50,11.54,2.25,15.8,6.8,4.5,13.5,3,morrico01
21,,Touki Toussaint,27,0,1,0,4.91,1,1,0,0,0,0,3.2,3,2,2,0,5,0,2,0,0,1,19,92,6.29,2.182,7.4,0,12.3,4.9,0.4,toussto01
22,,Michael Kelly,30,1,0,1,0,3,0,1,0,0,0,3.2,2,0,0,0,0,0,6,0,0,0,13,,0.01,0.545,4.9,0,0,14.7,,kellymi03
23,,Konnor Pilkington*,25,0,0,,0,1,0,1,0,0,0,2,1,0,0,0,1,0,2,0,0,0,8,,2.79,1,4.5,0,4.5,9,2,pilkiko01
24,,Daniel Norris*,30,0,0,,0,1,0,1,0,0,0,2,0,0,0,0,3,0,0,0,0,0,8,,7.79,1.5,0,0,13.5,0,0,norrida01
25,,David Fry,27,0,0,,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,,3.29,0,0,0,0,0,,fryda01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
