Position,Team,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
SP,DET,Michael Lorenzen,31,5,6,0,3,17,17,0,0,0,0,100.2,84,41,39,11,26,0,76,2,1,3,398,123,4.03,1.093,7.5,1.0,2.3,6.8,2
SP,DET,Eduardo Rodriguez,30,6,5,0,2,14,14,0,0,0,0,83.2,63,27,25,8,18,0,88,2,0,1,328,160,3.14,0.968,6.8,0.9,1.9,9.5,4
SP,DET,Joey Wentz,25,1,9,0,6,16,15,0,0,0,0,71.2,86,57,54,16,31,0,66,0,2,2,330,64,5.64,1.633,10.8,2.0,3.9,8.3,2
SP,DET,Matthew Boyd,32,5,5,0,5,15,15,0,0,0,0,71.0,69,46,43,11,25,0,73,2,0,2,303,79,4.38,1.324,8.7,1.4,3.2,9.3,2
SP,DET,Reese Olson,23,1,3,0,3,9,6,0,0,0,0,38.2,31,19,17,5,8,0,40,0,0,1,155,109,3.52,1.009,7.2,1.2,1.9,9.3,5
SP,DET,Spencer Turnbull,30,1,4,0,7,7,7,0,0,0,0,31.0,37,26,25,5,15,0,24,3,0,2,145,60,5.58,1.677,10.7,1.5,4.4,7.0,1
CL,DET,Alex Lange,27,5,2,0,4,40,0,27,0,0,16,39.2,25,19,18,3,26,1,51,4,0,1,173,106,3.97,1.286,5.7,0.7,5.9,11.6,1
RP,DET,Tyler Holton,27,0,1,0,1,32,1,6,0,0,0,50.2,34,11,10,4,15,1,44,1,0,4,197,243,3.52,0.967,6.0,0.7,2.7,7.8,2
RP,DET,Jason Foley,27,2,2,0,2,42,0,9,0,0,4,42.1,36,11,10,0,9,2,37,1,0,1,166,203,2.25,1.063,7.7,0.0,1.9,7.9,4
RP,DET,José Cisnero,34,2,2,0,3,40,0,11,0,0,1,36.0,32,17,13,4,14,2,40,3,0,4,155,133,3.92,1.278,8.0,1.0,3.5,10.0,2
RP,DET,Chasen Shreve,32,1,2,0,4,39,0,9,0,0,0,34.2,34,18,17,5,11,0,34,1,0,3,148,98,4.24,1.298,8.8,1.3,2.9,8.8,3
P,DET,Mason Englert,23,4,2,0,4,30,1,7,0,0,0,53.2,57,30,25,11,16,0,40,2,0,2,235,103,5.47,1.36,9.6,1.8,2.7,6.7,2
P,DET,Tyler Alexander,28,2,1,0,4,25,1,8,0,0,0,44.0,44,25,22,8,5,0,44,2,0,0,181,96,4.13,1.114,9.0,1.6,1.0,9.0,8
P,DET,Matt Manning,25,3,1,0,3,6,6,0,0,0,0,34.2,24,14,13,4,10,0,23,4,0,0,138,128,4.67,0.981,6.2,1.0,2.6,6.0,2
P,DET,Will Vest,28,2,0,1,2,27,3,4,0,0,0,29.2,23,10,9,1,9,0,32,0,0,0,120,159,2.48,1.079,7.0,0.3,2.7,9.7,3
P,DET,Alex Faedo,27,1,4,0,6,6,6,0,0,0,0,29.2,28,24,23,7,4,0,28,0,0,1,122,62,4.87,1.079,8.5,2.1,1.2,8.5,7
P,DET,Brendan White,24,2,2,0,5,14,1,4,0,0,0,17.0,18,11,10,3,5,0,19,2,0,1,73,83,4.58,1.353,9.5,1.6,2.6,10.1,3
P,DET,Tarik Skubal,26,0,1,0,5,3,3,0,0,0,0,12.0,10,7,7,0,3,0,14,1,0,0,48,84,1.95,1.083,7.5,0.0,2.3,10.5,4
P,DET,Trey Wingenter,29,1,0,1,8,6,0,1,0,0,0,4.1,5,4,4,0,2,0,5,2,0,2,22,56,3.75,1.615,10.4,0.0,4.2,10.4,2
